address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"Unit 1, 2 The Grn, Aberdeen AB11 6NY",210 Bistro,Aberdeen,N/A,pending,207,1224586180,2025-05-12 21:44:55.781611,4.4,AB1 8,http://www.bistroverdeaberdeen.co.uk/
"Unit 1, 2 The Grn, Aberdeen AB11 6NY",Bistro Verde,Aberdeen,N/A,pending,303,1224518616,2025-05-12 21:45:14.744802,4.4,AB1 8,https://thetownhouseaberdeen.com/
"18 Guild St, Aberdeen AB11 6NE",The TownHouse,Aberdeen,N/A,pending,80,1224573323,2025-05-12 21:45:28.884462,4.1,AB1 8,https://sumacafe.co.uk/
"49-53 Queen's Rd, Aberdeen AB15 4YP",Suma Restaurant & Cocktail Bar,Aberdeen,N/A,pending,163,1224507097,2025-05-12 21:45:37.219941,4.5,AB1 8,https://www.malmaison.com/food-drink/brasserie/
"13 Crown St, Aberdeen AB11 6HA",Chez Mal Aberdeen,Aberdeen,N/A,pending,485,1224596537,2025-05-12 21:45:46.039217,4.4,AB1 8,https://www.seoul-aberdeen.co.uk/
"52 The Grn, Aberdeen AB11 6PE",Seoul Restaurant Korean BBQ & Japanese Aberdeen,Aberdeen,N/A,pending,282,7300875536,2025-05-12 21:45:52.939915,4.2,AB1 8,http://cafe52onthegreen.co.uk/
"37-39 Netherkirkgate, Aberdeen AB10 1AU",Cafe 52,Aberdeen,N/A,pending,583,1224649592,2025-05-12 21:46:01.405448,4.5,AB1 8,https://thecitybaranddiner.wordpress.com/
"145 Crown St, Aberdeen AB11 6HP",The City Bar and Diner,Aberdeen,N/A,pending,259,1224210288,2025-05-12 21:46:12.757319,4.5,AB1 8,http://www.thejewelaberdeen.com/
"Unit 2, Marischal Square, Aberdeen AB10 1BL",The Jewel in the Crown Aberdeen Indian Restaurant,Aberdeen,N/A,pending,440,1224635330,2025-05-12 21:46:19.354421,4.6,AB1 8,http://maggiesgrill.co.uk/
"13 Castle St, Aberdeen AB11 5BQ",Maggie's Grill,Aberdeen,N/A,pending,959,1224636888,2025-05-12 21:46:25.916629,4.7,AB1 8,http://www.siam-cottage.co.uk/
"2, 8 King St, Aberdeen AB24 5AX",Siam Cottage,Aberdeen,N/A,pending,365,1224453801,2025-05-12 21:46:32.273184,4.6,AB1 8,http://www.la-lombarda.co.uk/
"academy centre courtyard, Aberdeen AB10 1LB",Gio's by La Lombarda,Aberdeen,N/A,pending,65,1224608585,2025-05-12 21:46:39.510287,4.3,AB1 8,https://www.revoluciondecuba.com/bar/aberdeen?utm_source=Google&utm_medium=Yext&y_source=1_NTA1MTM5MjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"academy centre courtyard, Aberdeen AB10 1LB",Revolución de Cuba Aberdeen,Aberdeen,N/A,pending,1205,1224977466,2025-05-12 21:46:50.720148,4.3,AB1 8,http://www.tarragoncatering.co.uk/
"Unit 1, 9 Sea, Beach Blvd, Esplanade, Aberdeen AB24 5NS",Tarragon by Graham Mitchell,Aberdeen,N/A,pending,132,1224595333,2025-05-12 21:46:57.355215,4.5,AB1 8,https://muzosturkishkitchen.co.uk/
"Six Degrees, 6 Littlejohn St, Aberdeen AB10 1FF",Muzo’s Turkish Kitchen,Aberdeen,N/A,pending,1362,1224422255,2025-05-12 21:47:03.687449,4.7,AB1 8,http://www.smokeandsoul.co.uk/
"1 Queen's Terrace, Aberdeen AB10 1XL",Smoke and Soul at The Firepit,Aberdeen,N/A,pending,267,1224611909,2025-05-12 21:47:11.417740,4.2,AB1 8,http://www.amuse-restaurant.com/
"1 Queen's Terrace, Aberdeen AB10 1XL",Amuse by Kevin Dalgleish,Aberdeen,N/A,pending,158,1224465656,2025-05-12 21:47:23.527432,4.3,AB1 8,https://www.zizzi.co.uk/Aberdeen?utm_source=google&utm_medium=knowledgepanel&utm_campaign=GMB
"c/o Aberdeen Douglas Hotel, 43-45 Market St, Aberdeen AB11 5EL",Zizzi - Aberdeen,Aberdeen,N/A,pending,534,1224565536,2025-05-12 21:47:39.362355,4.2,AB1 8,https://aberdeendouglas.com/eat-drink/mollys-bistro/
"58-60 Justice Mill Ln, Aberdeen AB11 6EP",Molly's Bistro,Aberdeen,N/A,pending,140,1224036806,2025-05-12 21:47:46.577978,4.3,AB1 8,https://www.dosamigos.co.uk/
"28 Adelphi, Aberdeen AB11 5BL",DOS Amigos Aberdeen,Aberdeen,N/A,pending,227,1224912221,2025-05-12 21:47:53.039259,4.7,AB1 8,https://www.facebook.com/TasteofHongKongAberdeen/
"7 Little Belmont St, Aberdeen AB10 1JG",Taste of Hong Kong,Aberdeen,N/A,pending,444,1224647777,2025-05-12 21:47:59.082984,4.7,AB1 8,http://www.poldinos.co.uk/
"7 Little Belmont St, Aberdeen AB10 1JG",Poldino's Restaurant & Pizzeria,Aberdeen,N/A,pending,513,1224633610,2025-05-12 21:48:05.988075,4.6,AB1 8,https://www.rishistakeawayaberdeen.co.uk/
"Union Square Shopping Centre, 29 First Level Mall Union Square, Guild Square, Aberdeen AB11 5RG",Rishi's Indian Aroma Aberdeen,Aberdeen,N/A,pending,868,1224918006,2025-05-12 21:48:17.970692,4.5,AB1 8,https://www.thaikhun.co.uk/thai-restaurant/aberdeen/
"Ground Floor, 64 Bridge St, Aberdeen AB11 6JN",Thaikhun,Aberdeen,N/A,pending,866,1224379920,2025-05-12 21:48:24.631079,4.4,AB1 8,https://www.namastedelhi.co.uk/
"106-108 Forest Ave, Aberdeen AB15 4UP",Namaste Delhi,Aberdeen,N/A,pending,299,1224323700,2025-05-12 21:48:30.833317,4.6,AB1 8,http://www.rendezvousatnargile.co.uk/
"106-108 Forest Ave, Aberdeen AB15 4UP",Rendezvous | Nargile,Aberdeen,N/A,pending,312,,2025-05-12 21:48:38.641083,4.7,AB1 8,http://www.thetipplinghouse.com/
"4 Belmont St, Aberdeen AB10 1JE",The Tippling House,Aberdeen,N/A,pending,478,1224647295,2025-05-12 21:48:50.573310,4.5,AB1 8,https://lahorekarahiaberdeen.co.uk/mSpY
"14/15 First Level Mall, Guild St, Aberdeen AB11 5RG",Lahore Karahi,Aberdeen,N/A,pending,526,3301759230,2025-05-12 21:49:03.688664,4.3,AB1 8,https://www.tgifridays.co.uk/locations/aberdeen-union-square/?utm_source=localGMB&utm_medium=organic&utm_campaign=676
"40 St Andrew St, Aberdeen AB25 1JA",TGI Fridays - Aberdeen Union Square,Aberdeen,N/A,pending,1473,7832129337,2025-05-12 21:49:11.519476,4.2,AB1 8,http://www.pizzerella.uk/
"52 Castlegate, Aberdeen AB11 5BB",Pizzerella,Aberdeen,N/A,pending,135,1224581922,2025-05-12 21:49:19.291190,4.9,AB1 8,https://www.belhaven.co.uk/pubs/aberdeen/old-blackfriars?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage
"21 Union St, Aberdeen AB11 5BU",Old Blackfriars,Aberdeen,N/A,pending,1373,21115,2025-05-12 21:49:27.745215,4.4,AB1 8,https://www.feedmeonline.co.uk/takeaways/Aberdeen/AB11/union-cafe-and-bistro/menu/?custom=1
"21 Union St, Aberdeen AB11 5BU",Union Cafe & Bistro,Aberdeen,N/A,pending,511,1224593056,2025-05-12 21:49:51.577070,4.4,AB1 8,https://www.wagamama.com/restaurants/aberdeen/aberdeen
"Spring Garden, Aberdeen AB25 1DT",wagamama aberdeen,Aberdeen,N/A,pending,833,,2025-05-12 21:49:58.244775,4.4,AB1 8,https://www.nescol.ac.uk/about-nescol/our-campuses-and-centres/aberdeen-city-campus/gate-63/
