address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"10 Queen's Terrace, Aberdeen AB10 1XL",No.10 Bar and Restaurant,Aberdeen,N/A,pending,981,1224631928,2025-05-12 22:00:04.643693,4.5,AB1 7,http://no10aberdeen.co.uk/
"11 Holburn St, Aberdeen AB10 6BS",Estabulo Rodizio Bar & Grill - Aberdeen,Aberdeen,N/A,pending,1105,1224588909,2025-05-12 22:00:16.608266,4.8,AB1 7,https://www.travancorerestaurant.co.uk/
"5 Bon-Accord St, Aberdeen AB11 6FX",Travancore Restaurant Aberdeen,Aberdeen,N/A,pending,1857,1224581100,2025-05-12 22:00:23.933671,4.5,AB1 7,https://www.cafeandaluz.com/
"Pocra Quay, Aberdeen AB11 5DQ",Cafe Andaluz,Aberdeen,N/A,pending,1857,1224576229,2025-05-12 22:00:30.876351,4.5,AB1 7,http://www.thesilverdarling.co.uk/
"1 Union Terrace, Aberdeen AB10 1NJ",The Silver Darling,Aberdeen,N/A,pending,1329,1224918005,2025-05-12 22:00:40.595690,4.6,AB1 7,https://chaophraya.co.uk/aberdeen/
"50 Chapel St, Aberdeen AB10 1SN",Chaophraya,Aberdeen,N/A,pending,204,1224501529,2025-05-12 22:00:47.786275,4.3,AB1 7,http://www.theatriumaberdeen.com/
"263 Union St, Aberdeen AB11 6BR",The Atrium Restaurant & Bar,Aberdeen,N/A,pending,204,1224002187,2025-05-12 22:00:55.238027,4.3,AB1 7,http://www.gidigrill.com/
"242 Holburn St, Aberdeen AB10 6DB","Gidi Grill, Aberdeen",Aberdeen,N/A,pending,239,1224032104,2025-05-12 22:01:03.267414,4.6,AB1 7,http://www.peragrillandbar.co.uk/
"26 Union St, Aberdeen AB10 1BD",Miller & Carter Aberdeen,Aberdeen,N/A,pending,4774,1224531074,2025-05-12 22:01:11.677420,4.7,AB1 7,https://www.millerandcarter.co.uk/restaurants/scotland-and-northern-ireland/millerandcarteraberdeen?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
"347 Union St, Aberdeen AB11 6BT",8848 Restaurant,Aberdeen,N/A,pending,679,1224595588,2025-05-12 22:01:24.746379,4.6,AB1 7,http://www.8848restaurant.co.uk/
"15 Bon-Accord St, Aberdeen AB11 6EA",Chop Grill & Bar,Aberdeen,N/A,pending,208,7500705431,2025-05-12 22:01:37.260910,4.3,AB1 7,https://alfresco-aberdeen.com/
"7 Summer St, Aberdeen AB10 1SB",AL FRESCO Italian Restaurant Aberdeen,Aberdeen,N/A,pending,340,1224460211,2025-05-12 22:01:44.064814,4.7,AB1 7,http://madamemews.com/
"11 Albyn Pl, Aberdeen AB10 1YE",Madame Mew's,Aberdeen,N/A,pending,673,1224973855,2025-05-12 22:01:52.562259,4.6,AB1 7,https://www.thealbyn.co.uk/
"73-75 Skene St, Aberdeen AB10 1QD",The Albyn,Aberdeen,N/A,pending,167,1224356826,2025-05-12 22:02:03.845384,4.4,AB1 7,https://viet-an.co.uk/
"39 Summer St, Aberdeen AB10 1SB",Viet An,Aberdeen,N/A,pending,167,1224620333,2025-05-12 22:02:11.728872,4.7,AB1 7,http://www.thebraidedfig.co.uk/
"257-259 Union St, Aberdeen AB11 6BR",The Braided Fig,Aberdeen,N/A,pending,386,1224590300,2025-05-12 22:02:18.949042,4.2,AB1 7,http://amaronerestaurant.co.uk/
"23 Windmill Brae, Aberdeen AB11 6HU",Café Bohème,Aberdeen,N/A,pending,523,1224210677,2025-05-12 22:02:25.410313,4.7,AB1 7,http://cafebohemerestaurant.co.uk/
"62 Union Row, Aberdeen AB10 1SA",Da Vinci Italian Restaurant,Aberdeen,N/A,pending,359,1224658444,2025-05-12 22:02:44.181157,4.5,AB1 7,http://www.rustico-restaurant.co.uk/
"1 Queen's Terrace, Aberdeen AB10 1XL",Rustico,Aberdeen,N/A,pending,1257,1224611909,2025-05-12 22:02:51.912672,4.5,AB1 7,http://www.amuse-restaurant.com/
"S Silver St, Aberdeen AB10 1PR",Amuse by Kevin Dalgleish,Aberdeen,N/A,pending,158,1224518616,2025-05-12 22:03:02.408583,4.3,AB1 7,https://thetownhouseaberdeen.com/
"Unit 1, 2 The Grn, Aberdeen AB11 6NY",The TownHouse,Aberdeen,N/A,pending,80,1224586180,2025-05-12 22:03:09.604296,4.1,AB1 7,http://www.bistroverdeaberdeen.co.uk/
"80-82 Huntly St, Aberdeen AB10 1TD",Bistro Verde,Aberdeen,N/A,pending,303,1224639198,2025-05-12 22:03:17.017267,4.4,AB1 7,https://www.amoreitalianrestaurant.co.uk/
"17 Adelphi, Aberdeen AB11 5BL",Mi Amore,Aberdeen,N/A,nowebsite,1041,1224210530,2025-05-12 22:03:25.327504,4.6,AB1 7,N/A
"17 Adelphi, Aberdeen AB11 5BL",Goulash,Aberdeen,N/A,pending,351,1224640483,2025-05-12 22:03:33.580556,4.7,AB1 7,http://www.thenooseandmonkey.com/
