address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"Sheila Fleet Jewellery, 30 Bridge St, Kirkwall KW15 1HR",Sheila Fleet Kirkwall,Kirkwall,N/A,pending,20,1856876900,2025-05-13 11:58:41.857903,4.8,KW1 5,http://www.sheilafleet.com/
"Albert St, Kirkwall KW15 1HQ",Twenty One,Kirkwall,N/A,nowebsite,143,,2025-05-13 11:58:48.199286,4.6,KW1 5,N/A
"31 Victoria St, Kirkwall KW15 1DN",Lucano,Kirkwall,N/A,pending,671,1856875687,2025-05-13 11:58:53.693319,4.4,KW1 5,http://www.lucanokirkwall.co.uk/
"Bridge St, Wynd, Kirkwall KW15 1JD",The Storehouse Restaurant with Rooms,Kirkwall,N/A,pending,268,1856252250,2025-05-13 11:58:59.665508,4.6,KW1 5,http://www.thestorehouserestaurantwithrooms.co.uk/
"Garrison Rd, Kirkwall KW15 1RE",Beiting and Brew,Kirkwall,N/A,pending,1,,2025-05-13 11:59:05.753686,5.0,KW1 5,https://www.facebook.com/orkneystreetfood/?_rdr
"14 Harbour St, Kirkwall KW15 1LE",Helgi's,Kirkwall,N/A,pending,658,1856879293,2025-05-13 11:59:14.379266,4.4,KW1 5,https://www.helgis-orkney.co.uk/
"26 Junction Rd, Kirkwall KW15 1AB",Auld Motor Hoose,Kirkwall,N/A,nowebsite,347,1856871422,2025-05-13 11:59:20.438133,4.5,KW1 5,N/A
"7 Bridge St, Kirkwall KW15 1HR",Dil Se Restaurant,Kirkwall,N/A,pending,198,1856875242,2025-05-13 11:59:26.132800,4.2,KW1 5,https://dilserestaurantorkney.com/
"8 Laing St, Kirkwall KW15 1NW",Archive Coffee,Kirkwall,N/A,nowebsite,439,,2025-05-13 11:59:31.960090,4.7,KW1 5,N/A
"32 Laverock Rd, Kirkwall KW15 1EE",Sakura Kitchen,Kirkwall,N/A,pending,26,32151,2025-05-13 11:59:38.551216,5.0,KW1 5,https://www.sakurakitchen.co.uk/
"16 Albert St, Kirkwall KW15 1HP",Trenabies Cafe Bistro,Kirkwall,N/A,pending,318,1856874336,2025-05-13 11:59:47.404662,4.3,KW1 5,https://www.facebook.com/Trenabiescafe/
"Shore St, Kirkwall KW15 1LG",The Shore,Kirkwall,N/A,pending,177,1856872200,2025-05-13 11:59:53.717806,4.2,KW1 5,http://www.theshore.co.uk/
"Great Western Rd, Kirkwall KW15 1AN",The Snak Pot,Kirkwall,N/A,nowebsite,15,7415089745,2025-05-13 12:00:01.943365,4.9,KW1 5,N/A
"Mounthoolie Ln, Kirkwall KW15 1LA",The Foveran,Kirkwall,N/A,nowebsite,94,,2025-05-13 12:00:13.813499,4.0,KW1 5,N/A
"Holm Rd, Kirkwall KW15 1SU",Bothy Bar,Kirkwall,N/A,pending,217,1856872505,2025-05-13 12:00:19.617359,4.7,KW1 5,https://lynnfield.co.uk/
"65 Junction Rd, Kirkwall KW15 1AX",Happy Haddock,Kirkwall,N/A,pending,347,1856878857,2025-05-13 12:00:25.864606,4.3,KW1 5,https://m.facebook.com/TheHappyHaddock/
"Harbour St, Kirkwall KW15 1LE",Kirkwall Hotel,Kirkwall,N/A,pending,611,1856872232,2025-05-13 12:00:32.048647,4.2,KW1 5,https://www.kirkwallhotel.com/
"40 Victoria St, Kirkwall KW15 1DN",Royal Cask Whisky Gin Bar,Kirkwall,N/A,pending,43,1856873477,2025-05-13 12:00:46.296969,4.6,KW1 5,https://www.orkneyhotel.co.uk/drink/
"3 Bridge St, Kirkwall KW15 1HR",Harbour Fry,Kirkwall,N/A,nowebsite,426,1856873170,2025-05-13 12:00:52.383214,4.5,KW1 5,N/A
"37 Junction Rd, Kirkwall KW15 1AG",Indian Garden,Kirkwall,N/A,pending,342,37151,2025-05-13 12:01:01.310800,4.1,KW1 5,http://indiangardenkirkwall.co.uk/
"Hatston Industrial Estate, Scott's Rd, Kirkwall KW15 1GR",Busters Diner,Kirkwall,N/A,pending,28,1856872417,2025-05-13 12:01:14.058424,4.2,KW1 5,http://www.jollysoforkney.co.uk/
"Harbour St, Kirkwall KW15 1LE",St Ola Hotel Ltd,Kirkwall,N/A,pending,306,1856875090,2025-05-13 12:01:20.093706,4.3,KW1 5,http://www.stolahotel.co.uk/
"Anchor Shopping Centre, 12 Bridge St, Kirkwall KW15 1HR",The Orkney Hotel,Kirkwall,N/A,pending,303,1856877778,2025-05-13 12:01:38.804973,4.1,KW1 5,https://orkneysbestkebab.co.uk/
"14 Main St, Kirkwall KW15 1BU",Orkney's Best Kebab,Kirkwall,N/A,pending,98,1856881201,2025-05-13 12:01:50.303067,4.2,KW1 5,http://www.westendkirkwall.co.uk/
"Willow Rd, Kirkwall KW15 1NJ",The West End Guest House,Kirkwall,N/A,nowebsite,177,1856875371,2025-05-13 12:01:58.084858,4.4,KW1 5,N/A
"44 Albert St, Kirkwall KW15 1HQ",Willows Takeaway,Kirkwall,N/A,pending,285,7513810249,2025-05-13 12:02:04.914950,4.3,KW1 5,http://www.emiliart.co.uk/
"7 Mounthoolie Pl, Kirkwall KW15 1JZ",Badly Drawn Cat,Kirkwall,N/A,pending,147,1856876000,2025-05-13 12:02:11.446310,4.8,KW1 5,http://www.alberthotel.co.uk/
Orkney KW15 1PB,Steers orkney,Kirkwall,N/A,nowebsite,0,,2025-05-13 12:02:18.998516,N/A,KW1 5,N/A
"2 Bridge St, Kirkwall KW15 1HR",The bay takeaway,Kirkwall,N/A,nowebsite,2,1856878896,2025-05-13 12:02:34.300138,3.0,KW1 5,N/A
