address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"1 Greenfern Rd, Aberdeen AB16 5PY",Grays Inn,Aberdeen,N/A,pending,497,1224684573,2025-05-11 20:51:22.143429,4.3,AB1 6,https://www.greeneking.co.uk/pubs/aberdeenshire/grays-inn?utm_source=g_places&utm_medium=locations&utm_campaign=FG_pubpage
"6, Cornhill Shopping Centre Arcade, Foresterhill Rd, Aberdeen AB16 5UT",DHANOLA’S,Aberdeen,N/A,pending,45,1224662821,2025-05-11 20:51:32.541307,4.9,AB1 6,https://www.easterneyeaberdeen.co.uk/
"15 Stocket Parade, Aberdeen AB16 5QN",Zee's Peri Peri Grill Aberdeen,Aberdeen,N/A,pending,146,1224695359,2025-05-11 20:51:39.847998,4.2,AB1 6,http://www.zeesperiperigrill.com/
"3 Stockethill Cres, Aberdeen AB16 5TT",Asia Kitchen Aberdeen,Aberdeen,N/A,pending,40,1224684777,2025-05-11 20:51:54.283158,4.7,AB1 6,https://www.asiakitchenaberdeen.co.uk/
