address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"1 The Avenue, Deansgate, Manchester M3 3AP",THE BRASSERIE,Manchester,N/A,pending,2077,1618310288,2025-05-16 01:59:09.836665,4.2,M1 1,https://australasiamcr.co.uk/
"29-31 Sackville St, Manchester M1 3LZ",Australasia,Manchester,N/A,pending,2077,1612287396,2025-05-16 01:59:17.648920,4.3,M1 1,http://habesharestaurant.co.uk/
"49-51 Edge St, Manchester M4 1HW",Almost Famous NQ,Manchester,N/A,pending,1731,1612449424,2025-05-16 01:59:26.152967,4.4,M1 1,http://almostfamousburgers.com/
"1038 Ashton New Rd, Manchester M11 4PE",QPlus Tropical Taste Restaurant & Bar..Q3,Manchester,N/A,nowebsite,43,1613707621,2025-05-16 01:59:34.477787,4.2,M1 1,N/A
"3 Hardman Square, Gartside St, Manchester M3 3EB",Do Eat Restaurant Manchester,Manchester,N/A,pending,135,1618192060,2025-05-16 02:00:05.392777,4.2,M1 1,https://tattu.co.uk/locations/manchester/
"40 Swan St, Manchester M4 5JG",Tattu Manchester,Manchester,N/A,pending,3150,1614419029,2025-05-16 02:00:12.244071,4.5,M1 1,http://www.firehousemcr.com/
"1 York St, Greater, Manchester M2 2AW",Firehouse Manchester,Manchester,N/A,pending,598,1618191055,2025-05-16 02:00:20.957245,4.6,M1 1,https://www.browns-restaurants.co.uk/restaurants/northwest/manchester?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
"231 Kay St, Manchester M11 2DU",Browns Manchester,Manchester,N/A,nowebsite,3722,231112,2025-05-16 02:00:30.272813,4.5,M1 1,N/A
"Exchange Sq, Greater, Manchester M4 3TR",Kabinet Cafe,Manchester,N/A,pending,1,1618348961,2025-05-16 02:00:39.490228,4.0,M1 1,https://cornexchangemanchester.co.uk/
"853 Ashton Old Rd, Openshaw, Manchester M11 2NL",Corn Exchange Manchester,Manchester,N/A,pending,4116,853112,2025-05-16 02:00:53.642911,4.4,M1 1,http://www.melbournelounge.com/
"New Smithfield Market, Unit, M8, Manchester M11 2WW",Melbourne lounge,Manchester,N/A,pending,6,1612209768,2025-05-16 02:01:04.078072,5.0,M1 1,http://linktr.ee/4seasonsinnmcr
"86 Belle Vue St, Manchester M12 5PP",Four Seasons Inn四季酒家,Manchester,N/A,nowebsite,167,7427407286,2025-05-16 02:01:14.221541,4.2,M1 1,N/A
"55 King St, Manchester M2 4LQ","Capecoast Bar, Restaurant and Takeaway",Manchester,N/A,pending,143,1618393030,2025-05-16 02:01:22.170682,4.2,M1 1,https://www.kalabistro.co.uk/
"10 Tib Ln, Manchester M2 4JB",Kala,Manchester,N/A,pending,567,1618331034,2025-05-16 02:01:55.636269,4.6,M1 1,https://www.10tiblane.com/
"Corn Exchange, Exchange Sq, Manchester M4 3TR",10 Tib Lane,Manchester,N/A,pending,308,1618396484,2025-05-16 02:02:04.140477,4.6,M1 1,https://tampopo.co.uk/
"163 Ashton Old Rd, Manchester M11 3WU",Tampopo Corn Exchange,Manchester,N/A,pending,1738,1612220363,2025-05-16 02:02:13.217965,4.7,M1 1,http://www.liveseafood.co.uk/
"Ground Floor, Manchester Hall, 36 Bridge St, Manchester M3 3BT",Live Seafood Ltd,Manchester,N/A,pending,92,1613596952,2025-05-16 02:02:22.618368,4.1,M1 1,http://www.masonsrestaurantbar.co.uk/
"Ground Floor, Manchester Hall, 36 Bridge St, Manchester M3 3BT",Masons,Manchester,N/A,pending,300,1612732888,2025-05-16 02:02:30.906646,4.5,M1 1,http://www.oneplusrestaurant.co.uk/booking/
