address,businessname,city,email,emailstatus,numberofreviews,phonenumber,scraped_at,stars,subsector,website
"225 Holburn St, Aberdeen AB10 6BL",Holburn Bar,Aberdeen,N/A,pending,805,1224211941,2025-05-11 20:55:25.318292,4.2,AB1 0,https://www.belhaven.co.uk/pubs/aberdeen/holburn-bar?utm_source=g_places&utm_medium=locations&utm_campaign=PS_pubpage
"10 Queen's Terrace, Aberdeen AB10 1XL",No.10 Bar and Restaurant,Aberdeen,N/A,pending,981,1224631928,2025-05-11 20:55:35.741803,4.5,AB1 0,http://no10aberdeen.co.uk/
"1 Union Terrace, Aberdeen AB10 1NJ",The Albyn,Aberdeen,N/A,pending,697,1224918005,2025-05-11 20:55:45.802320,4.4,AB1 0,https://chaophraya.co.uk/aberdeen/
"26 Union St, Aberdeen AB10 1BD",Chaophraya,Aberdeen,N/A,pending,697,1224531074,2025-05-11 20:55:55.391494,4.3,AB1 0,https://www.millerandcarter.co.uk/restaurants/scotland-and-northern-ireland/millerandcarteraberdeen?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
"50 Chapel St, Aberdeen AB10 1SN",The Atrium Restaurant & Bar,Aberdeen,N/A,pending,204,1224501529,2025-05-11 20:56:03.780772,4.3,AB1 0,http://www.theatriumaberdeen.com/
"1 Alford Ln, Aberdeen AB10 1YB",Cafe Andaluz,Aberdeen,N/A,pending,1857,1224591810,2025-05-11 20:56:14.921839,4.5,AB1 0,https://davincirestaurant.co.uk/
"263 Union St, Aberdeen AB11 6BR",Da Vinci Italian Restaurant,Aberdeen,N/A,pending,359,1224002187,2025-05-11 20:56:21.744744,4.5,AB1 0,http://www.gidigrill.com/
"263 Union St, Aberdeen AB11 6BR","Gidi Grill, Aberdeen",Aberdeen,N/A,pending,237,1224637850,2025-05-11 20:56:32.308654,4.6,AB1 0,https://www.lailaturkishcuisine.co.uk/
"39 Summer St, Aberdeen AB10 1SB",Laila Turkish Cuisine,Aberdeen,N/A,pending,235,1224620333,2025-05-11 20:56:42.041439,4.8,AB1 0,http://www.thebraidedfig.co.uk/
"80-82 Huntly St, Aberdeen AB10 1TD",The Braided Fig,Aberdeen,N/A,pending,386,1224639198,2025-05-11 20:56:49.786004,4.2,AB1 0,https://www.amoreitalianrestaurant.co.uk/
"7 Summer St, Aberdeen AB10 1SB",Mi Amore,Aberdeen,N/A,pending,1041,1224460211,2025-05-11 20:56:58.588068,4.6,AB1 0,http://madamemews.com/
"38 Union St, Aberdeen AB10 1BD",Madame Mew's,Aberdeen,N/A,pending,673,1224634815,2025-05-11 20:57:08.342080,4.6,AB1 0,http://www.theesslemont.co.uk/
"242 Holburn St, Aberdeen AB10 6DB",The Esslemont Bar & Restaurant,Aberdeen,N/A,pending,301,1224032104,2025-05-11 20:57:22.224613,4.5,AB1 0,http://www.peragrillandbar.co.uk/
"47 Belmont St, Aberdeen AB10 1JS",Pera Restaurant Aberdeen,Aberdeen,N/A,pending,119,1224083588,2025-05-11 20:57:30.235009,4.8,AB1 0,https://www.facebook.com/KulturaAberdeen/
"47 Belmont St, Aberdeen AB10 1JS",Kultura,Aberdeen,N/A,pending,56,7404561623,2025-05-11 20:57:38.502374,4.6,AB1 0,https://www.estabulo.co.uk/locations/restaurant-aberdeen/
"15 Bon-Accord St, Aberdeen AB11 6EA",Estabulo Rodizio Bar & Grill - Aberdeen,Aberdeen,N/A,pending,1098,7500705431,2025-05-11 20:57:48.004364,4.8,AB1 0,https://alfresco-aberdeen.com/
"15 Bon-Accord St, Aberdeen AB11 6EA",AL FRESCO Italian Restaurant Aberdeen,Aberdeen,N/A,pending,339,1224595588,2025-05-11 20:57:55.228724,4.7,AB1 0,http://www.8848restaurant.co.uk/
"academy centre courtyard, Aberdeen AB10 1LB",8848 Restaurant,Aberdeen,N/A,pending,679,1224608585,2025-05-11 20:58:12.780949,4.6,AB1 0,https://www.revoluciondecuba.com/bar/aberdeen?utm_source=Google&utm_medium=Yext&y_source=1_NTA1MTM5MjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"257-259 Union St, Aberdeen AB11 6BR",Revolución de Cuba Aberdeen,Aberdeen,N/A,pending,1205,1224590300,2025-05-11 20:58:20.838027,4.3,AB1 0,http://amaronerestaurant.co.uk/
"Unit 2, Marischal Square, Aberdeen AB10 1BL",Amarone,Aberdeen,N/A,pending,1479,1224635330,2025-05-11 20:58:29.530532,4.5,AB1 0,http://maggiesgrill.co.uk/
